carname,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,seats,city
Maruti Swift,2009,4163,Electric,Individual,Manual,Second Owner,17.72,1904,7,Surat
Maruti Swift,2011,9546,Diesel,Dealer,Automatic,Second Owner,36.92,867,11,Delhi
Maruti Swift,2014,177926,Hybrid,Individual,Manual,First Owner,15.98,1267,11,Mumbai
Maruti Swift,2007,18388,Petrol,Individual,Automatic,Second Owner,27.82,1811,11,Surat
Maruti Swift,2022,59744,Hybrid,Individual,Automatic,First Owner,30.65,1008,5,Bangalore
Maruti Swift,2000,150271,Electric,Dealer,Manual,First Owner,28.92,1506,11,Pune
Maruti Swift,2012,56460,Electric,Individual,Manual,First Owner,23.26,883,11,Chennai
Maruti Swift,2011,104466,Diesel,Individual,Manual,Second Owner,33.97,1351,5,Jaipur
Maruti Swift,2008,136632,Diesel,Dealer,Automatic,First Owner,26.07,1908,7,Delhi
Maruti Swift,2000,179402,Petrol,Dealer,Automatic,First Owner,22.91,1510,7,Mumbai
Maruti Swift,2013,122357,Hybrid,Dealer,Automatic,Second Owner,17.01,1001,5,Chennai
Maruti Swift,2002,179425,Diesel,Individual,Automatic,First Owner,22.07,1687,7,Mumbai
Maruti Swift,2016,22705,CNG,Dealer,Manual,Second Owner,33.82,1521,5,Delhi
Maruti Swift,2010,20594,Hybrid,Individual,Automatic,First Owner,18.16,1438,11,Mumbai
Maruti Swift,2000,77412,Petrol,Dealer,Automatic,Second Owner,24.82,1185,5,Jaipur
Maruti Swift,2011,67784,Diesel,Dealer,Automatic,First Owner,24.03,1702,7,Ahmedabad
Maruti Swift,2006,180213,Electric,Individual,Automatic,First Owner,22.97,1448,5,Ahmedabad
Maruti Swift,2018,79277,Diesel,Dealer,Manual,First Owner,11.5,927,5,Kolkata
Maruti Swift,2004,190863,Diesel,Individual,Automatic,First Owner,17.47,1756,7,Kolkata
Maruti Swift,2017,83613,Electric,Dealer,Manual,First Owner,15.53,1002,7,Kolkata
Maruti Swift,2019,58972,Diesel,Individual,Manual,First Owner,32.7,1426,5,Ahmedabad
Maruti Swift,2022,35153,Hybrid,Individual,Manual,Second Owner,12.61,1639,5,Mumbai
Maruti Swift,2009,105605,Petrol,Dealer,Manual,Second Owner,22.98,1313,11,Jaipur
Maruti Swift,2012,153342,Petrol,Individual,Automatic,First Owner,15.32,1421,5,Hyderabad
Maruti Swift,2005,76426,Hybrid,Dealer,Automatic,First Owner,32.69,1852,5,Chennai
Maruti Swift,2010,1714,Hybrid,Individual,Manual,First Owner,39.19,1259,11,Chennai
Maruti Swift,2010,62757,Petrol,Dealer,Manual,Second Owner,16.88,1374,5,Hyderabad
Maruti Swift,2005,54195,Hybrid,Dealer,Automatic,Second Owner,11.23,1123,7,Delhi
Maruti Swift,2012,139774,Petrol,Dealer,Automatic,Second Owner,29.61,1378,7,Pune
Maruti Swift,2022,85210,Hybrid,Dealer,Automatic,Second Owner,38.0,1713,5,Pune
Maruti Swift,2018,173252,CNG,Individual,Automatic,Second Owner,30.81,1513,5,Hyderabad
Maruti Swift,2017,121683,Petrol,Individual,Automatic,Second Owner,23.78,1056,7,Pune
Maruti Swift,2004,182208,CNG,Individual,Manual,Second Owner,34.03,1492,7,Delhi
Maruti Swift,2012,165472,Electric,Individual,Automatic,First Owner,19.67,1085,11,Kolkata
Maruti Swift,2013,73875,Diesel,Individual,Manual,First Owner,36.29,988,5,Chennai
Maruti Swift,2010,176112,Hybrid,Dealer,Manual,Second Owner,19.58,1693,5,Hyderabad
Maruti Swift,2019,149576,CNG,Individual,Manual,First Owner,19.97,1673,11,Chennai
Maruti Swift,2002,47682,Diesel,Dealer,Manual,Second Owner,32.54,922,7,Bangalore
Maruti Swift,2008,110489,Petrol,Dealer,Manual,First Owner,33.62,1273,5,Delhi
Maruti Swift,2017,122192,Petrol,Individual,Manual,Second Owner,27.69,1451,7,Ahmedabad
Maruti Swift,2007,71441,Electric,Individual,Automatic,Second Owner,32.13,1993,11,Surat
Maruti Swift,2000,4356,Petrol,Individual,Manual,First Owner,23.34,1431,11,Delhi
Maruti Swift,2018,172452,Electric,Dealer,Automatic,First Owner,30.53,1731,5,Bangalore
Maruti Swift,2009,50632,Diesel,Dealer,Manual,First Owner,22.87,1172,5,Delhi
Maruti Swift,2019,47646,Hybrid,Individual,Manual,Second Owner,17.12,1038,7,Jaipur
Maruti Swift,2023,25041,Diesel,Individual,Manual,Second Owner,19.63,1075,5,Chennai
Maruti Swift,2008,189812,Diesel,Dealer,Manual,First Owner,34.78,1405,7,Kolkata
Maruti Swift,2002,105735,Electric,Individual,Manual,Second Owner,13.12,1714,11,Surat
Maruti Baleno,2000,133791,Diesel,Dealer,Manual,Second Owner,38.94,1641,11,Jaipur
Maruti Baleno,2019,186179,Petrol,Individual,Manual,Second Owner,18.8,1717,7,Delhi
Maruti Baleno,2012,43525,Petrol,Dealer,Automatic,Second Owner,29.05,1115,11,Mumbai
Maruti Baleno,2006,138612,Electric,Dealer,Automatic,Second Owner,28.43,1228,11,Kolkata
Maruti Baleno,2011,99350,CNG,Dealer,Manual,Second Owner,37.38,1728,11,Pune
Maruti Baleno,2000,164539,Hybrid,Dealer,Automatic,First Owner,20.08,1894,5,Hyderabad
Maruti Baleno,2018,47391,Petrol,Dealer,Automatic,Second Owner,14.06,1625,11,Bangalore
Maruti Baleno,2010,85317,Diesel,Individual,Manual,Second Owner,26.67,1527,5,Pune
Maruti Baleno,2018,64469,Electric,Dealer,Automatic,Second Owner,14.08,1832,5,Mumbai
Maruti Baleno,2013,193148,Diesel,Individual,Automatic,Second Owner,15.71,1114,5,Hyderabad
Maruti Baleno,2014,153192,CNG,Dealer,Automatic,Second Owner,34.6,1410,5,Mumbai
Maruti Baleno,2008,88041,Petrol,Dealer,Automatic,Second Owner,22.59,1465,7,Mumbai
Maruti Baleno,2009,4820,Petrol,Dealer,Automatic,Second Owner,30.63,1715,7,Jaipur
Maruti Baleno,2012,8736,Electric,Dealer,Automatic,First Owner,23.13,935,11,Chennai
Maruti Baleno,2010,125699,Electric,Individual,Manual,First Owner,22.7,1344,5,Pune
Maruti Baleno,2003,113149,Hybrid,Individual,Manual,Second Owner,18.93,1433,5,Delhi
Maruti Baleno,2007,111228,Electric,Individual,Automatic,Second Owner,19.62,927,11,Kolkata
Maruti Baleno,2002,119813,Electric,Individual,Manual,Second Owner,17.12,1837,11,Bangalore
Maruti Baleno,2007,116323,CNG,Dealer,Automatic,Second Owner,22.02,1764,11,Pune
Maruti Baleno,2016,35969,Electric,Dealer,Automatic,Second Owner,36.97,1182,7,Delhi
Maruti Baleno,2011,6928,CNG,Dealer,Manual,First Owner,12.38,1587,5,Mumbai
Maruti Baleno,2014,49051,CNG,Dealer,Manual,Second Owner,22.71,1802,7,Kolkata
Maruti Baleno,2009,97746,Hybrid,Dealer,Automatic,First Owner,37.32,1478,5,Kolkata
Maruti Baleno,2007,10808,Diesel,Individual,Automatic,First Owner,22.42,1284,11,Delhi
Maruti Baleno,2005,83909,Hybrid,Dealer,Manual,First Owner,12.76,1131,11,Bangalore
Maruti Baleno,2014,92763,CNG,Individual,Automatic,Second Owner,13.96,1910,7,Mumbai
Maruti Baleno,2005,55105,Hybrid,Individual,Manual,First Owner,38.86,1224,11,Kolkata
Maruti Baleno,2003,113463,Diesel,Dealer,Manual,First Owner,14.35,880,5,Bangalore
Maruti Baleno,2002,148905,Hybrid,Individual,Manual,Second Owner,22.65,1267,7,Ahmedabad
Maruti Baleno,2002,39500,Electric,Dealer,Manual,First Owner,25.26,1728,11,Bangalore
Maruti Baleno,2018,16482,CNG,Dealer,Manual,Second Owner,36.4,920,5,Surat
Maruti Baleno,2012,15376,Diesel,Dealer,Automatic,First Owner,13.47,1854,11,Ahmedabad
Maruti Baleno,2016,114196,CNG,Dealer,Automatic,First Owner,22.63,1478,11,Surat
Maruti Baleno,2017,114655,Diesel,Individual,Automatic,First Owner,28.21,1059,7,Pune
Maruti Baleno,2013,196459,Hybrid,Individual,Manual,Second Owner,11.54,1432,7,Delhi
Maruti Baleno,2020,98079,Diesel,Individual,Manual,First Owner,31.46,1284,7,Ahmedabad
Maruti Baleno,2017,137212,Diesel,Dealer,Automatic,First Owner,22.74,1196,11,Kolkata
Maruti Baleno,2023,16870,CNG,Dealer,Manual,First Owner,20.21,1783,7,Kolkata
Maruti Baleno,2008,60490,Electric,Individual,Manual,First Owner,34.05,1629,7,Delhi
Maruti Baleno,2020,158430,Petrol,Dealer,Automatic,First Owner,34.47,1199,11,Ahmedabad
Maruti Baleno,2020,188753,Diesel,Dealer,Manual,Second Owner,39.77,1992,11,Jaipur
Maruti Baleno,2008,188632,Petrol,Individual,Automatic,Second Owner,26.47,1321,11,Delhi
Maruti Baleno,2005,171122,Petrol,Dealer,Automatic,Second Owner,29.79,1256,11,Surat
Maruti Baleno,2001,4270,Diesel,Dealer,Manual,First Owner,14.6,902,11,Mumbai
Maruti Baleno,2022,125702,Diesel,Individual,Automatic,First Owner,16.1,882,5,Surat
Maruti Baleno,2016,179585,Electric,Individual,Manual,First Owner,10.73,869,5,Hyderabad
Maruti Baleno,2005,69434,Diesel,Dealer,Manual,First Owner,18.13,1911,11,Mumbai
Maruti Baleno,2020,70763,Electric,Individual,Automatic,First Owner,31.6,1613,5,Surat
Maruti Baleno,2018,136164,Electric,Individual,Automatic,Second Owner,10.45,1140,7,Surat
Maruti Baleno,2023,24508,Petrol,Dealer,Automatic,First Owner,31.59,1245,7,Chennai
Maruti Ertiga,2016,21004,Petrol,Individual,Automatic,First Owner,20.74,821,11,Bangalore
Maruti Ertiga,2000,156648,Petrol,Individual,Automatic,Second Owner,34.32,1144,11,Hyderabad
Maruti Ertiga,2006,173426,Petrol,Dealer,Automatic,Second Owner,32.32,1997,7,Chennai
Maruti Ertiga,2018,147441,Petrol,Dealer,Manual,First Owner,35.39,1520,5,Mumbai
Maruti Ertiga,2013,6333,Electric,Individual,Manual,First Owner,27.94,1260,11,Bangalore
Maruti Ertiga,2007,125454,Petrol,Individual,Automatic,First Owner,15.9,991,5,Hyderabad
Maruti Ertiga,2008,95600,Hybrid,Individual,Manual,First Owner,13.05,1927,11,Chennai
Maruti Ertiga,2023,116969,Diesel,Dealer,Manual,Second Owner,19.09,1357,5,Bangalore
Maruti Ertiga,2007,103564,Electric,Individual,Automatic,First Owner,18.33,1300,7,Hyderabad
Maruti Ertiga,2022,79188,Diesel,Individual,Manual,Second Owner,13.04,1979,11,Jaipur
Maruti Ertiga,2005,1746,Electric,Dealer,Manual,First Owner,24.4,1907,5,Mumbai
Maruti Ertiga,2016,38477,Petrol,Dealer,Automatic,First Owner,16.75,1273,11,Pune
Maruti Ertiga,2000,199096,Hybrid,Dealer,Manual,Second Owner,11.55,959,11,Bangalore
Maruti Ertiga,2001,7175,CNG,Individual,Automatic,Second Owner,12.04,1408,5,Kolkata
Maruti Ertiga,2017,89569,Hybrid,Dealer,Manual,Second Owner,29.0,916,7,Jaipur
Maruti Ertiga,2016,38385,CNG,Dealer,Manual,Second Owner,33.59,1650,7,Pune
Maruti Ertiga,2015,32690,Diesel,Individual,Manual,Second Owner,36.26,1686,11,Surat
Maruti Ertiga,2015,8378,Petrol,Dealer,Automatic,Second Owner,18.01,869,11,Delhi
Maruti Ertiga,2020,109674,Diesel,Dealer,Manual,First Owner,15.81,1976,7,Pune
Maruti Ertiga,2009,85420,Diesel,Individual,Manual,First Owner,36.01,894,5,Bangalore
Maruti Ertiga,2002,42135,Hybrid,Dealer,Manual,Second Owner,12.88,1011,11,Delhi
Maruti Ertiga,2005,132404,Diesel,Dealer,Automatic,Second Owner,26.03,913,7,Mumbai
Maruti Ertiga,2009,119752,Petrol,Dealer,Automatic,First Owner,34.77,1001,7,Delhi
Maruti Ertiga,2005,127870,CNG,Dealer,Manual,First Owner,22.69,1469,5,Jaipur
Maruti Ertiga,2018,112397,CNG,Dealer,Automatic,Second Owner,24.46,1484,5,Pune
Maruti Ertiga,2020,170991,Hybrid,Individual,Automatic,First Owner,10.9,1567,7,Bangalore
Maruti Ertiga,2020,13421,CNG,Individual,Manual,Second Owner,31.78,1905,7,Ahmedabad
Maruti Ertiga,2004,113806,Diesel,Dealer,Manual,Second Owner,25.55,1577,11,Surat
Maruti Ertiga,2013,154954,Petrol,Dealer,Manual,Second Owner,11.66,1231,7,Bangalore
Maruti Ertiga,2004,31664,Hybrid,Dealer,Manual,First Owner,35.38,1822,5,Kolkata
Maruti Ertiga,2006,33905,Petrol,Individual,Automatic,Second Owner,22.22,1312,11,Jaipur
Maruti Ertiga,2010,114643,CNG,Dealer,Automatic,Second Owner,18.84,1009,5,Chennai
Maruti Ertiga,2021,25309,Diesel,Dealer,Automatic,First Owner,29.56,1820,5,Jaipur
Maruti Ertiga,2011,14760,Diesel,Dealer,Automatic,Second Owner,27.47,1748,11,Delhi
Maruti Ertiga,2001,168613,CNG,Individual,Automatic,First Owner,29.51,1749,7,Bangalore
Maruti Ertiga,2022,5538,CNG,Individual,Automatic,Second Owner,31.49,975,11,Kolkata
Maruti Ertiga,2010,117520,Diesel,Dealer,Manual,Second Owner,19.14,1232,7,Jaipur
Maruti Ertiga,2007,50479,CNG,Dealer,Automatic,First Owner,16.11,1058,7,Mumbai
Maruti Ertiga,2017,51077,Diesel,Dealer,Manual,Second Owner,14.6,1233,11,Pune
Maruti Ertiga,2005,52666,Hybrid,Dealer,Manual,Second Owner,35.43,1667,7,Jaipur
Maruti Ertiga,2004,165663,CNG,Individual,Automatic,Second Owner,31.43,1369,7,Delhi
Maruti Ertiga,2017,43734,Petrol,Dealer,Manual,Second Owner,25.01,1078,7,Pune
Maruti Ertiga,2010,145069,Petrol,Individual,Automatic,First Owner,24.9,962,5,Pune
Maruti Ertiga,2009,148189,CNG,Dealer,Manual,Second Owner,17.63,1571,5,Chennai
Maruti Ertiga,2016,26343,Hybrid,Dealer,Manual,Second Owner,12.67,1267,11,Surat
Maruti Ertiga,2017,15025,CNG,Individual,Manual,Second Owner,37.62,1228,7,Mumbai
Maruti Ertiga,2019,70738,Petrol,Dealer,Manual,First Owner,20.64,1455,11,Ahmedabad
Maruti Ertiga,2012,21607,Diesel,Individual,Automatic,Second Owner,22.49,1823,5,Bangalore
Maruti Ertiga,2020,182969,Hybrid,Individual,Manual,Second Owner,19.27,1251,5,Kolkata
Maruti Ertiga,2018,179594,Electric,Dealer,Automatic,First Owner,33.15,1116,11,Hyderabad
HYUNDAI Santro,2012,15574,Petrol,Individual,Manual,Second Owner,36.15,1016,7,Surat
HYUNDAI Santro,2017,109693,Diesel,Dealer,Manual,First Owner,31.05,1916,7,Kolkata
HYUNDAI Santro,2003,100500,Electric,Dealer,Automatic,First Owner,16.32,1721,7,Pune
HYUNDAI Santro,2005,4222,Petrol,Individual,Automatic,First Owner,10.83,995,11,Chennai
HYUNDAI Santro,2017,198189,CNG,Individual,Automatic,Second Owner,12.3,1071,11,Surat
HYUNDAI Santro,2020,168805,Electric,Individual,Automatic,Second Owner,36.61,1493,5,Bangalore
HYUNDAI Santro,2015,191893,Electric,Dealer,Automatic,Second Owner,14.43,800,7,Pune
HYUNDAI Santro,2014,183230,Electric,Individual,Automatic,First Owner,22.85,932,7,Surat
HYUNDAI Santro,2021,164923,Diesel,Dealer,Manual,First Owner,23.2,860,7,Hyderabad
HYUNDAI Santro,2018,184581,CNG,Dealer,Manual,First Owner,22.19,1468,5,Jaipur
HYUNDAI Santro,2010,180008,CNG,Dealer,Automatic,Second Owner,21.57,1460,7,Jaipur
HYUNDAI Santro,2019,110602,Hybrid,Dealer,Automatic,Second Owner,16.81,1892,11,Surat
HYUNDAI Santro,2007,127824,Electric,Dealer,Automatic,Second Owner,12.41,1471,5,Jaipur
HYUNDAI Santro,2018,84162,Hybrid,Individual,Manual,First Owner,24.09,1388,11,Surat
HYUNDAI Santro,2004,120201,CNG,Individual,Manual,Second Owner,19.31,1822,7,Surat
HYUNDAI Santro,2019,196451,Diesel,Dealer,Manual,Second Owner,38.28,1902,11,Delhi
HYUNDAI Santro,2013,110496,Petrol,Individual,Manual,Second Owner,14.68,1849,7,Chennai
HYUNDAI Santro,2007,3741,Electric,Individual,Manual,First Owner,30.56,1112,5,Delhi
HYUNDAI Santro,2006,48625,Diesel,Dealer,Manual,First Owner,32.85,1299,7,Surat
HYUNDAI Santro,2008,109276,Petrol,Individual,Manual,First Owner,24.34,1696,11,Surat
HYUNDAI Santro,2014,185325,Diesel,Dealer,Automatic,First Owner,14.53,1510,11,Kolkata
HYUNDAI Santro,2017,113711,CNG,Individual,Automatic,First Owner,11.69,1962,7,Kolkata
HYUNDAI Santro,2019,57964,Hybrid,Dealer,Automatic,First Owner,15.43,1162,7,Jaipur
HYUNDAI Santro,2016,110482,Diesel,Individual,Manual,Second Owner,21.62,1265,7,Kolkata
HYUNDAI Santro,2001,17817,Petrol,Individual,Automatic,First Owner,32.71,1640,7,Delhi
HYUNDAI Santro,2015,64075,CNG,Dealer,Automatic,Second Owner,28.01,1143,5,Mumbai
HYUNDAI Santro,2010,125938,Diesel,Individual,Automatic,Second Owner,30.79,935,7,Surat
HYUNDAI Santro,2009,149987,Petrol,Individual,Automatic,First Owner,12.53,1051,7,Chennai
HYUNDAI Santro,2015,6298,Petrol,Dealer,Automatic,Second Owner,24.91,1134,11,Kolkata
HYUNDAI Santro,2006,54927,Electric,Individual,Manual,First Owner,22.58,858,7,Delhi
HYUNDAI Santro,2015,14389,Petrol,Dealer,Automatic,Second Owner,31.48,1479,11,Jaipur
HYUNDAI Santro,2010,7467,Diesel,Individual,Automatic,First Owner,18.28,1773,11,Ahmedabad
HYUNDAI Santro,2014,149750,Diesel,Individual,Automatic,Second Owner,20.92,1835,11,Jaipur
HYUNDAI Santro,2014,142979,Hybrid,Individual,Automatic,First Owner,18.28,1231,11,Bangalore
HYUNDAI Santro,2020,86146,Diesel,Dealer,Automatic,Second Owner,35.1,1358,5,Pune
HYUNDAI Santro,2010,188477,Diesel,Individual,Manual,First Owner,32.2,883,7,Ahmedabad
HYUNDAI Santro,2008,116027,Diesel,Dealer,Manual,Second Owner,13.89,1793,11,Chennai
HYUNDAI Santro,2008,54078,Petrol,Individual,Automatic,Second Owner,30.32,1629,7,Bangalore
HYUNDAI Santro,2006,140618,Electric,Individual,Automatic,First Owner,14.24,951,5,Surat
HYUNDAI Santro,2018,115322,Hybrid,Dealer,Automatic,First Owner,23.58,1060,7,Chennai
HYUNDAI Santro,2019,178232,Petrol,Dealer,Manual,First Owner,24.84,1937,11,Pune
HYUNDAI Santro,2006,66433,Hybrid,Individual,Manual,Second Owner,15.48,1425,5,Pune
HYUNDAI Santro,2014,2091,Electric,Dealer,Automatic,Second Owner,33.15,1969,5,Surat
HYUNDAI Santro,2004,34971,Petrol,Dealer,Manual,Second Owner,33.37,949,5,Delhi
HYUNDAI Santro,2016,177999,Diesel,Individual,Automatic,First Owner,19.43,982,11,Hyderabad
HYUNDAI Santro,2010,122488,Diesel,Dealer,Automatic,Second Owner,30.76,1411,7,Mumbai
HYUNDAI Santro,2013,60314,Electric,Individual,Automatic,Second Owner,34.6,1671,7,Pune
HYUNDAI Santro,2017,27860,CNG,Individual,Manual,First Owner,39.78,1265,7,Surat
HYUNDAI Santro,2002,157455,Hybrid,Individual,Manual,First Owner,21.4,1311,11,Ahmedabad
HYUNDAI Santro,2010,135453,Diesel,Individual,Automatic,Second Owner,10.43,1103,11,Bangalore
HYUNDAI i20,2016,32826,Diesel,Dealer,Automatic,First Owner,15.99,1043,11,Chennai
HYUNDAI i20,2008,42578,Diesel,Individual,Manual,First Owner,34.51,1323,7,Bangalore
HYUNDAI i20,2011,7774,Petrol,Dealer,Automatic,First Owner,20.07,1302,11,Delhi
HYUNDAI i20,2020,182166,Hybrid,Individual,Automatic,First Owner,33.26,979,11,Kolkata
HYUNDAI i20,2017,146272,CNG,Dealer,Manual,Second Owner,28.11,1538,7,Pune
HYUNDAI i20,2011,13118,Hybrid,Individual,Automatic,Second Owner,32.57,1791,11,Jaipur
HYUNDAI i20,2014,63038,Hybrid,Dealer,Automatic,First Owner,32.73,1657,5,Surat
HYUNDAI i20,2010,63641,Electric,Individual,Automatic,Second Owner,25.25,1573,7,Chennai
HYUNDAI i20,2021,20919,Diesel,Dealer,Manual,First Owner,18.19,1598,5,Chennai
HYUNDAI i20,2014,61400,Electric,Dealer,Manual,Second Owner,19.07,1306,5,Bangalore
HYUNDAI i20,2015,52785,Hybrid,Individual,Manual,Second Owner,17.78,1200,5,Delhi
HYUNDAI i20,2020,157448,Hybrid,Dealer,Manual,First Owner,21.46,1486,11,Kolkata
HYUNDAI i20,2011,136628,Diesel,Individual,Automatic,Second Owner,23.75,1905,5,Delhi
HYUNDAI i20,2013,20333,CNG,Individual,Automatic,Second Owner,38.97,1861,5,Surat
HYUNDAI i20,2019,84796,Hybrid,Individual,Automatic,First Owner,38.19,1249,7,Chennai
HYUNDAI i20,2001,146942,CNG,Dealer,Automatic,Second Owner,31.81,853,11,Chennai
HYUNDAI i20,2007,70429,Diesel,Dealer,Automatic,First Owner,35.56,1744,7,Jaipur
HYUNDAI i20,2008,146167,Electric,Individual,Automatic,Second Owner,26.04,1628,5,Bangalore
HYUNDAI i20,2020,182422,Hybrid,Dealer,Manual,Second Owner,18.39,1776,7,Mumbai
HYUNDAI i20,2022,125625,Petrol,Individual,Manual,Second Owner,21.31,1255,5,Surat
HYUNDAI i20,2003,173779,Hybrid,Individual,Automatic,First Owner,18.48,1735,7,Surat
HYUNDAI i20,2008,54209,CNG,Dealer,Manual,Second Owner,22.11,1361,11,Surat
HYUNDAI i20,2022,89262,Petrol,Individual,Automatic,First Owner,21.49,1046,5,Kolkata
HYUNDAI i20,2008,188305,CNG,Dealer,Manual,Second Owner,37.72,1504,11,Hyderabad
HYUNDAI i20,2013,101852,Diesel,Individual,Automatic,First Owner,28.39,1099,5,Kolkata
HYUNDAI i20,2004,158570,Hybrid,Dealer,Automatic,First Owner,17.01,1846,5,Chennai
HYUNDAI i20,2020,60430,Electric,Individual,Automatic,Second Owner,13.5,1214,11,Chennai
HYUNDAI i20,2016,79364,CNG,Individual,Manual,Second Owner,12.08,811,7,Hyderabad
HYUNDAI i20,2013,163053,Diesel,Individual,Manual,Second Owner,35.73,1091,11,Ahmedabad
HYUNDAI i20,2012,153454,Diesel,Dealer,Manual,Second Owner,37.39,1022,11,Chennai
HYUNDAI i20,2000,138618,CNG,Individual,Automatic,First Owner,30.17,1982,7,Surat
HYUNDAI i20,2018,199942,Petrol,Dealer,Automatic,Second Owner,37.08,1361,5,Kolkata
HYUNDAI i20,2023,187289,Diesel,Dealer,Manual,Second Owner,19.34,1170,11,Bangalore
