carname,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,seats,city
Maruti Alto,2006,86645,Electric,Dealer,Automatic,Second Owner,14.5,2.0,11,Hyderabad
Maruti Alto,2012,105910,CNG,Dealer,Automatic,Second Owner,35.86,2.6,11,Pune
Maruti Alto,2003,22917,CNG,Dealer,Automatic,Second Owner,14.57,2.0,11,Pune
Maruti Swift,2021,126806,Electric,Dealer,Manual,First Owner,21.66,2.4,5,Jaipur
Maruti Swift,2017,40677,Petrol,Individual,Automatic,Second Owner,23.47,2.0,11,Jaipur
Maruti Swift,2009,95859,Electric,Individual,Manual,Second Owner,17.72,2.6,7,Surat
Maruti Swift,2011,95078,Diesel,Dealer,Automatic,Second Owner,36.92,1.6,11,Delhi
Maruti Swift,2014,64676,Hybrid,Individual,Manual,First Owner,15.98,1.2,11,Mumbai
Maruti Swift,2007,55493,Petrol,Individual,Automatic,Second Owner,27.82,2.6,11,Surat
Maruti Swift,2022,89747,Hybrid,Individual,Automatic,First Owner,30.65,1.8,5,Bangalore
Maruti Swift,2000,45365,Electric,Dealer,Manual,First Owner,28.92,2.6,11,Pune
Maruti Swift,2012,48975,Electric,Individual,Manual,First Owner,23.26,2.0,11,Chennai
Maruti Swift,2011,27284,Diesel,Individual,Manual,Second Owner,33.97,1.2,5,Jaipur
Maruti Swift,2008,118015,Diesel,Dealer,Automatic,First Owner,26.07,1.4,7,Delhi
Maruti Swift,2000,39648,Petrol,Dealer,Automatic,First Owner,22.91,1.8,7,Mumbai
Maruti Swift,2013,106840,Hybrid,Dealer,Automatic,Second Owner,17.01,2.2,5,Chennai
Maruti Swift,2002,33152,Diesel,Individual,Automatic,First Owner,22.07,1.6,7,Mumbai
Maruti Swift,2016,76462,CNG,Dealer,Manual,Second Owner,33.82,2.6,5,Delhi
Maruti Swift,2010,81438,Hybrid,Individual,Automatic,First Owner,18.16,1.4,11,Mumbai
Maruti Swift,2000,120342,Petrol,Dealer,Automatic,Second Owner,24.82,2.6,5,Jaipur
Maruti Swift,2011,124639,Diesel,Dealer,Automatic,First Owner,24.03,1.4,7,Ahmedabad
Maruti Swift,2006,42422,Electric,Individual,Automatic,First Owner,22.97,2.4,5,Ahmedabad
Maruti Swift,2018,36343,Diesel,Dealer,Manual,First Owner,11.5,1.0,5,Kolkata
Maruti Swift,2004,89656,Diesel,Individual,Automatic,First Owner,17.47,2.0,7,Kolkata
Maruti Swift,2017,41988,Electric,Dealer,Manual,First Owner,15.53,1.6,7,Kolkata
Maruti Swift,2019,101631,Diesel,Individual,Manual,First Owner,32.7,1.4,5,Ahmedabad
Maruti Swift,2022,31157,Hybrid,Individual,Manual,Second Owner,12.61,1.4,5,Mumbai
Maruti Swift,2009,55871,Petrol,Dealer,Manual,Second Owner,22.98,2.2,11,Jaipur
Maruti Swift,2012,27405,Petrol,Individual,Automatic,First Owner,15.32,1.0,5,Hyderabad
Maruti Swift,2005,81747,Hybrid,Dealer,Automatic,First Owner,32.69,1.0,5,Chennai
Maruti Swift,2010,74868,Hybrid,Individual,Manual,First Owner,39.19,1.8,11,Chennai
Maruti Swift,2010,121993,Petrol,Dealer,Manual,Second Owner,16.88,1.8,5,Hyderabad
Maruti Swift,2005,94193,Hybrid,Dealer,Automatic,Second Owner,11.23,1.2,7,Delhi
Maruti Swift,2012,122046,Petrol,Dealer,Automatic,Second Owner,29.61,1.6,7,Pune
Maruti Swift,2022,97660,Hybrid,Dealer,Automatic,Second Owner,38.0,2.6,5,Pune
Maruti Swift,2018,38788,CNG,Individual,Automatic,Second Owner,30.81,2.2,5,Hyderabad
Maruti Swift,2017,22753,Petrol,Individual,Automatic,Second Owner,23.78,2.6,7,Pune
Maruti Swift,2004,103616,CNG,Individual,Manual,Second Owner,34.03,1.0,7,Delhi
Maruti Swift,2012,96059,Electric,Individual,Automatic,First Owner,19.67,1.4,11,Kolkata
Maruti Swift,2013,120709,Diesel,Individual,Manual,First Owner,36.29,2.2,5,Chennai
Maruti Swift,2010,25130,Hybrid,Dealer,Manual,Second Owner,19.58,1.6,5,Hyderabad
Maruti Swift,2019,91283,CNG,Individual,Manual,First Owner,19.97,2.6,11,Chennai
Maruti Swift,2002,103649,Diesel,Dealer,Manual,Second Owner,32.54,1.0,7,Bangalore
Maruti Swift,2008,45870,Petrol,Dealer,Manual,First Owner,33.62,2.6,5,Delhi
Maruti Swift,2017,83543,Petrol,Individual,Manual,Second Owner,27.69,1.6,7,Ahmedabad
Maruti Swift,2007,40638,Electric,Individual,Automatic,Second Owner,32.13,1.6,11,Surat
Maruti Swift,2000,92171,Petrol,Individual,Manual,First Owner,23.34,2.4,11,Delhi
Maruti Swift,2018,79406,Electric,Dealer,Automatic,First Owner,30.53,2.2,5,Bangalore
Maruti Swift,2009,78908,Diesel,Dealer,Manual,First Owner,22.87,1.8,5,Delhi
Maruti Swift,2019,88894,Hybrid,Individual,Manual,Second Owner,17.12,1.6,7,Jaipur
Maruti Swift,2023,97581,Diesel,Individual,Manual,Second Owner,19.63,1.2,5,Chennai
Maruti Swift,2008,72835,Diesel,Dealer,Manual,First Owner,34.78,2.0,7,Kolkata
Maruti Swift,2002,22749,Electric,Individual,Manual,Second Owner,13.12,1.6,11,Surat
Maruti Baleno,2000,39001,Diesel,Dealer,Manual,Second Owner,38.94,1.0,11,Jaipur
Maruti Baleno,2019,23893,Petrol,Individual,Manual,Second Owner,18.8,1.2,7,Delhi
Maruti Baleno,2012,125231,Petrol,Dealer,Automatic,Second Owner,29.05,1.8,11,Mumbai
Maruti Baleno,2006,56634,Electric,Dealer,Automatic,Second Owner,28.43,2.0,11,Kolkata
Maruti Baleno,2011,41044,CNG,Dealer,Manual,Second Owner,37.38,1.6,11,Pune
Maruti Baleno,2000,34120,Hybrid,Dealer,Automatic,First Owner,20.08,2.0,5,Hyderabad
Maruti Baleno,2018,69110,Petrol,Dealer,Automatic,Second Owner,14.06,2.6,11,Bangalore
Maruti Baleno,2010,124703,Diesel,Individual,Manual,Second Owner,26.67,1.0,5,Pune
Maruti Baleno,2018,27939,Electric,Dealer,Automatic,Second Owner,14.08,2.0,5,Mumbai
Maruti Baleno,2013,59229,Diesel,Individual,Automatic,Second Owner,15.71,1.0,5,Hyderabad
Maruti Baleno,2014,104568,CNG,Dealer,Automatic,Second Owner,34.6,1.6,5,Mumbai
Maruti Baleno,2008,68247,Petrol,Dealer,Automatic,Second Owner,22.59,1.4,7,Mumbai
Maruti Baleno,2009,70701,Petrol,Dealer,Automatic,Second Owner,30.63,2.2,7,Jaipur
Maruti Baleno,2012,110013,Electric,Dealer,Automatic,First Owner,23.13,1.4,11,Chennai
Maruti Baleno,2010,64384,Electric,Individual,Manual,First Owner,22.7,2.0,5,Pune
Maruti Baleno,2003,102401,Hybrid,Individual,Manual,Second Owner,18.93,1.6,5,Delhi
Maruti Baleno,2007,124871,Electric,Individual,Automatic,Second Owner,19.62,1.2,11,Kolkata
Maruti Baleno,2002,107559,Electric,Individual,Manual,Second Owner,17.12,2.6,11,Bangalore
Maruti Baleno,2007,79092,CNG,Dealer,Automatic,Second Owner,22.02,1.2,11,Pune
Maruti Baleno,2016,126863,Electric,Dealer,Automatic,Second Owner,36.97,1.4,7,Delhi
Maruti Baleno,2011,109900,CNG,Dealer,Manual,First Owner,12.38,1.0,5,Mumbai
Maruti Baleno,2014,41348,CNG,Dealer,Manual,Second Owner,22.71,1.6,7,Kolkata
Maruti Baleno,2009,79644,Hybrid,Dealer,Automatic,First Owner,37.32,2.4,5,Kolkata
Maruti Baleno,2007,53887,Diesel,Individual,Automatic,First Owner,22.42,1.4,11,Delhi
Maruti Baleno,2005,43225,Hybrid,Dealer,Manual,First Owner,12.76,2.2,11,Bangalore
Maruti Baleno,2014,32453,CNG,Individual,Automatic,Second Owner,13.96,1.2,7,Mumbai
Maruti Baleno,2005,123098,Hybrid,Individual,Manual,First Owner,38.86,2.0,11,Kolkata
Maruti Baleno,2003,104696,Diesel,Dealer,Manual,First Owner,14.35,2.6,5,Bangalore
Maruti Baleno,2002,54258,Hybrid,Individual,Manual,Second Owner,22.65,2.0,7,Ahmedabad
Maruti Baleno,2002,53873,Electric,Dealer,Manual,First Owner,25.26,1.8,11,Bangalore
Maruti Baleno,2018,85831,CNG,Dealer,Manual,Second Owner,36.4,2.2,5,Surat
Maruti Baleno,2012,116558,Diesel,Dealer,Automatic,First Owner,13.47,1.8,11,Ahmedabad
Maruti Baleno,2016,23271,CNG,Dealer,Automatic,First Owner,22.63,1.0,11,Surat
Maruti Baleno,2017,22146,Diesel,Individual,Automatic,First Owner,28.21,2.2,7,Pune
Maruti Baleno,2013,58639,Hybrid,Individual,Manual,Second Owner,11.54,1.2,7,Delhi
Maruti Baleno,2020,108021,Diesel,Individual,Manual,First Owner,31.46,1.0,7,Ahmedabad
Maruti Baleno,2017,90721,Diesel,Dealer,Automatic,First Owner,22.74,2.6,11,Kolkata
Maruti Baleno,2023,35700,CNG,Dealer,Manual,First Owner,20.21,2.2,7,Kolkata
Maruti Baleno,2008,44417,Electric,Individual,Manual,First Owner,34.05,1.2,7,Delhi
Maruti Baleno,2020,68607,Petrol,Dealer,Automatic,First Owner,34.47,2.0,11,Ahmedabad
Maruti Baleno,2020,46162,Diesel,Dealer,Manual,Second Owner,39.77,1.0,11,Jaipur
Maruti Baleno,2008,52867,Petrol,Individual,Automatic,Second Owner,26.47,1.4,11,Delhi
Maruti Baleno,2005,86800,Petrol,Dealer,Automatic,Second Owner,29.79,1.0,11,Surat
Maruti Baleno,2001,85726,Diesel,Dealer,Manual,First Owner,14.6,2.0,11,Mumbai
Maruti Baleno,2022,36152,Diesel,Individual,Automatic,First Owner,16.1,1.8,5,Surat
Maruti Baleno,2016,46036,Electric,Individual,Manual,First Owner,10.73,2.4,5,Hyderabad
Maruti Baleno,2005,126286,Diesel,Dealer,Manual,First Owner,18.13,2.6,11,Mumbai
Maruti Baleno,2020,26758,Electric,Individual,Automatic,First Owner,31.6,1.8,5,Surat
Maruti Baleno,2018,68224,Electric,Individual,Automatic,Second Owner,10.45,2.2,7,Surat
Maruti Baleno,2023,94079,Petrol,Dealer,Automatic,First Owner,31.59,1.4,7,Chennai
Maruti Ertiga,2016,29162,Petrol,Individual,Automatic,First Owner,20.74,1.8,11,Bangalore
Maruti Ertiga,2000,125199,Petrol,Individual,Automatic,Second Owner,34.32,2.6,11,Hyderabad
Maruti Ertiga,2006,81482,Petrol,Dealer,Automatic,Second Owner,32.32,2.6,7,Chennai
Maruti Ertiga,2018,41235,Petrol,Dealer,Manual,First Owner,35.39,2.2,5,Mumbai
Maruti Ertiga,2013,52874,Electric,Individual,Manual,First Owner,27.94,2.6,11,Bangalore
Maruti Ertiga,2007,69877,Petrol,Individual,Automatic,First Owner,15.9,2.4,5,Hyderabad
Maruti Ertiga,2008,61577,Hybrid,Individual,Manual,First Owner,13.05,2.4,11,Chennai
Maruti Ertiga,2023,103164,Diesel,Dealer,Manual,Second Owner,19.09,1.8,5,Bangalore
Maruti Ertiga,2007,65347,Electric,Individual,Automatic,First Owner,18.33,2.4,7,Hyderabad
Maruti Ertiga,2022,80989,Diesel,Individual,Manual,Second Owner,13.04,1.4,11,Jaipur
Maruti Ertiga,2005,61805,Electric,Dealer,Manual,First Owner,24.4,1.6,5,Mumbai
Maruti Ertiga,2016,54987,Petrol,Dealer,Automatic,First Owner,16.75,2.6,11,Pune
Maruti Ertiga,2000,77822,Hybrid,Dealer,Manual,Second Owner,11.55,2.0,11,Bangalore
Maruti Ertiga,2001,69395,CNG,Individual,Automatic,Second Owner,12.04,1.0,5,Kolkata
Maruti Ertiga,2017,54072,Hybrid,Dealer,Manual,Second Owner,29.0,2.6,7,Jaipur
Maruti Ertiga,2016,40161,CNG,Dealer,Manual,Second Owner,33.59,1.0,7,Pune
Maruti Ertiga,2015,54859,Diesel,Individual,Manual,Second Owner,36.26,1.6,11,Surat
Maruti Ertiga,2015,67224,Petrol,Dealer,Automatic,Second Owner,18.01,1.4,11,Delhi
Maruti Ertiga,2020,78444,Diesel,Dealer,Manual,First Owner,15.81,2.4,7,Pune
Maruti Ertiga,2009,25956,Diesel,Individual,Manual,First Owner,36.01,1.2,5,Bangalore
Maruti Ertiga,2002,77896,Hybrid,Dealer,Manual,Second Owner,12.88,2.0,11,Delhi
Maruti Ertiga,2005,23536,Diesel,Dealer,Automatic,Second Owner,26.03,1.2,7,Mumbai
Maruti Ertiga,2009,103658,Petrol,Dealer,Automatic,First Owner,34.77,2.4,7,Delhi
Maruti Ertiga,2005,106404,CNG,Dealer,Manual,First Owner,22.69,2.2,5,Jaipur
Maruti Ertiga,2018,22361,CNG,Dealer,Automatic,Second Owner,24.46,1.6,5,Pune
Maruti Ertiga,2020,37443,Hybrid,Individual,Automatic,First Owner,10.9,1.0,7,Bangalore
Maruti Ertiga,2020,50682,CNG,Individual,Manual,Second Owner,31.78,1.4,7,Ahmedabad
Maruti Ertiga,2004,125847,Diesel,Dealer,Manual,Second Owner,25.55,2.4,11,Surat
Maruti Ertiga,2013,69622,Petrol,Dealer,Manual,Second Owner,11.66,1.4,7,Bangalore
Maruti Ertiga,2004,117831,Hybrid,Dealer,Manual,First Owner,35.38,2.6,5,Kolkata
Maruti Ertiga,2006,31078,Petrol,Individual,Automatic,Second Owner,22.22,2.6,11,Jaipur
Maruti Ertiga,2010,78262,CNG,Dealer,Automatic,Second Owner,18.84,2.0,5,Chennai
Maruti Ertiga,2021,83429,Diesel,Dealer,Automatic,First Owner,29.56,1.6,5,Jaipur
Maruti Ertiga,2011,42578,Diesel,Dealer,Automatic,Second Owner,27.47,2.0,11,Delhi
Maruti Ertiga,2001,67182,CNG,Individual,Automatic,First Owner,29.51,2.2,7,Bangalore
Maruti Ertiga,2022,93336,CNG,Individual,Automatic,Second Owner,31.49,2.4,11,Kolkata
Maruti Ertiga,2010,23379,Diesel,Dealer,Manual,Second Owner,19.14,2.2,7,Jaipur
Maruti Ertiga,2007,67314,CNG,Dealer,Automatic,First Owner,16.11,1.0,7,Mumbai
Maruti Ertiga,2017,75620,Diesel,Dealer,Manual,Second Owner,14.6,2.6,11,Pune
Maruti Ertiga,2005,69098,Hybrid,Dealer,Manual,Second Owner,35.43,1.8,7,Jaipur
Maruti Ertiga,2004,58108,CNG,Individual,Automatic,Second Owner,31.43,2.0,7,Delhi
Maruti Ertiga,2017,75098,Petrol,Dealer,Manual,Second Owner,25.01,1.8,7,Pune
Maruti Ertiga,2010,29002,Petrol,Individual,Automatic,First Owner,24.9,2.0,5,Pune
Maruti Ertiga,2009,22905,CNG,Dealer,Manual,Second Owner,17.63,1.8,5,Chennai
Maruti Ertiga,2016,76494,Hybrid,Dealer,Manual,Second Owner,12.67,1.6,11,Surat
Maruti Ertiga,2017,78052,CNG,Individual,Manual,Second Owner,37.62,1.4,7,Mumbai
Maruti Ertiga,2019,95213,Petrol,Dealer,Manual,First Owner,20.64,1.2,11,Ahmedabad
Maruti Ertiga,2012,67031,Diesel,Individual,Automatic,Second Owner,22.49,1.8,5,Bangalore
Maruti Ertiga,2020,54261,Hybrid,Individual,Manual,Second Owner,19.27,2.0,5,Kolkata
Maruti Ertiga,2018,95784,Electric,Dealer,Automatic,First Owner,33.15,1.8,11,Hyderabad
HYUNDAI Santro,2012,65251,Petrol,Individual,Manual,Second Owner,36.15,2.6,7,Surat
HYUNDAI Santro,2017,68642,Diesel,Dealer,Manual,First Owner,31.05,2.2,7,Kolkata
HYUNDAI Santro,2003,59619,Electric,Dealer,Automatic,First Owner,16.32,2.0,7,Pune
HYUNDAI Santro,2005,62091,Petrol,Individual,Automatic,First Owner,10.83,2.2,11,Chennai
HYUNDAI Santro,2017,57604,CNG,Individual,Automatic,Second Owner,12.3,1.0,11,Surat
HYUNDAI Santro,2020,72536,Electric,Individual,Automatic,Second Owner,36.61,1.6,5,Bangalore
HYUNDAI Santro,2015,89040,Electric,Dealer,Automatic,Second Owner,14.43,1.0,7,Pune
HYUNDAI Santro,2014,126937,Electric,Individual,Automatic,First Owner,22.85,1.6,7,Surat
HYUNDAI Santro,2021,111116,Diesel,Dealer,Manual,First Owner,23.2,2.2,7,Hyderabad
HYUNDAI Santro,2018,78031,CNG,Dealer,Manual,First Owner,22.19,2.6,5,Jaipur
HYUNDAI Santro,2010,103771,CNG,Dealer,Automatic,Second Owner,21.57,1.8,7,Jaipur
HYUNDAI Santro,2019,69912,Hybrid,Dealer,Automatic,Second Owner,16.81,1.2,11,Surat
HYUNDAI Santro,2007,37443,Electric,Dealer,Automatic,Second Owner,12.41,1.8,5,Jaipur
HYUNDAI Santro,2018,120819,Hybrid,Individual,Manual,First Owner,24.09,1.8,11,Surat
HYUNDAI Santro,2004,123823,CNG,Individual,Manual,Second Owner,19.31,2.0,7,Surat
HYUNDAI Santro,2019,38252,Diesel,Dealer,Manual,Second Owner,38.28,1.0,11,Delhi
HYUNDAI Santro,2013,25826,Petrol,Individual,Manual,Second Owner,14.68,1.0,7,Chennai
HYUNDAI Santro,2007,39475,Electric,Individual,Manual,First Owner,30.56,2.0,5,Delhi
HYUNDAI Santro,2006,49080,Diesel,Dealer,Manual,First Owner,32.85,2.2,7,Surat
HYUNDAI Santro,2008,24527,Petrol,Individual,Manual,First Owner,24.34,1.4,11,Surat
HYUNDAI Santro,2014,54352,Diesel,Dealer,Automatic,First Owner,14.53,2.4,11,Kolkata
HYUNDAI Santro,2017,94100,CNG,Individual,Automatic,First Owner,11.69,1.6,7,Kolkata
HYUNDAI Santro,2019,22324,Hybrid,Dealer,Automatic,First Owner,15.43,1.0,7,Jaipur
HYUNDAI Santro,2016,106484,Diesel,Individual,Manual,Second Owner,21.62,2.4,7,Kolkata
HYUNDAI Santro,2001,66200,Petrol,Individual,Automatic,First Owner,32.71,1.6,7,Delhi
HYUNDAI Santro,2015,75698,CNG,Dealer,Automatic,Second Owner,28.01,1.2,5,Mumbai
HYUNDAI Santro,2010,97168,Diesel,Individual,Automatic,Second Owner,30.79,2.2,7,Surat
HYUNDAI Santro,2009,24820,Petrol,Individual,Automatic,First Owner,12.53,1.6,7,Chennai
HYUNDAI Santro,2015,66683,Petrol,Dealer,Automatic,Second Owner,24.91,1.4,11,Kolkata
HYUNDAI Santro,2006,117063,Electric,Individual,Manual,First Owner,22.58,2.0,7,Delhi
HYUNDAI Santro,2015,69248,Petrol,Dealer,Automatic,Second Owner,31.48,2.6,11,Jaipur
HYUNDAI Santro,2010,110650,Diesel,Individual,Automatic,First Owner,18.28,2.6,11,Ahmedabad
HYUNDAI Santro,2014,53972,Diesel,Individual,Automatic,Second Owner,20.92,2.4,11,Jaipur
HYUNDAI Santro,2014,21459,Hybrid,Individual,Automatic,First Owner,18.28,2.6,11,Bangalore
HYUNDAI Santro,2020,125906,Diesel,Dealer,Automatic,Second Owner,35.1,2.4,5,Pune
HYUNDAI Santro,2010,93389,Diesel,Individual,Manual,First Owner,32.2,1.8,7,Ahmedabad
HYUNDAI Santro,2008,69933,Diesel,Dealer,Manual,Second Owner,13.89,1.6,11,Chennai
HYUNDAI Santro,2008,109434,Petrol,Individual,Automatic,Second Owner,30.32,1.8,7,Bangalore
HYUNDAI Santro,2006,40017,Electric,Individual,Automatic,First Owner,14.24,2.0,5,Surat
HYUNDAI Santro,2018,71549,Hybrid,Dealer,Automatic,First Owner,23.58,2.6,7,Chennai
HYUNDAI Santro,2019,122575,Petrol,Dealer,Manual,First Owner,24.84,2.6,11,Pune
HYUNDAI Santro,2006,73267,Hybrid,Individual,Manual,Second Owner,15.48,1.8,5,Pune
HYUNDAI Santro,2014,74956,Electric,Dealer,Automatic,Second Owner,33.15,1.6,5,Surat
HYUNDAI Santro,2004,115871,Petrol,Dealer,Manual,Second Owner,33.37,1.0,5,Delhi
HYUNDAI Santro,2016,98658,Diesel,Individual,Automatic,First Owner,19.43,1.8,11,Hyderabad
HYUNDAI Santro,2010,27751,Diesel,Dealer,Automatic,Second Owner,30.76,1.0,7,Mumbai
HYUNDAI Santro,2013,78692,Electric,Individual,Automatic,Second Owner,34.6,1.2,7,Pune
HYUNDAI Santro,2017,129963,CNG,Individual,Manual,First Owner,39.78,2.4,7,Surat
HYUNDAI Santro,2002,123093,Hybrid,Individual,Manual,First Owner,21.4,2.0,11,Ahmedabad
HYUNDAI Santro,2010,65215,Diesel,Individual,Automatic,Second Owner,10.43,1.0,11,Bangalore
HYUNDAI i20,2016,74571,Diesel,Dealer,Automatic,First Owner,15.99,2.6,11,Chennai
HYUNDAI i20,2008,40180,Diesel,Individual,Manual,First Owner,34.51,2.4,7,Bangalore
HYUNDAI i20,2011,43344,Petrol,Dealer,Automatic,First Owner,20.07,1.6,11,Delhi
HYUNDAI i20,2020,75875,Hybrid,Individual,Automatic,First Owner,33.26,2.4,11,Kolkata
HYUNDAI i20,2017,24102,CNG,Dealer,Manual,Second Owner,28.11,1.8,7,Pune
HYUNDAI i20,2011,85507,Hybrid,Individual,Automatic,Second Owner,32.57,2.0,11,Jaipur
HYUNDAI i20,2014,117834,Hybrid,Dealer,Automatic,First Owner,32.73,1.0,5,Surat
HYUNDAI i20,2010,31216,Electric,Individual,Automatic,Second Owner,25.25,2.0,7,Chennai
HYUNDAI i20,2021,55610,Diesel,Dealer,Manual,First Owner,18.19,1.2,5,Chennai
HYUNDAI i20,2014,23731,Electric,Dealer,Manual,Second Owner,19.07,2.4,5,Bangalore
HYUNDAI i20,2015,62872,Hybrid,Individual,Manual,Second Owner,17.78,2.4,5,Delhi
HYUNDAI i20,2020,70489,Hybrid,Dealer,Manual,First Owner,21.46,2.0,11,Kolkata
HYUNDAI i20,2011,20816,Diesel,Individual,Automatic,Second Owner,23.75,2.4,5,Delhi
HYUNDAI i20,2013,126494,CNG,Individual,Automatic,Second Owner,38.97,2.0,5,Surat
HYUNDAI i20,2019,56481,Hybrid,Individual,Automatic,First Owner,38.19,2.2,7,Chennai
HYUNDAI i20,2001,40628,CNG,Dealer,Automatic,Second Owner,31.81,1.6,11,Chennai
HYUNDAI i20,2007,51289,Diesel,Dealer,Automatic,First Owner,35.56,2.4,7,Jaipur
HYUNDAI i20,2008,51889,Electric,Individual,Automatic,Second Owner,26.04,2.2,5,Bangalore
HYUNDAI i20,2020,117025,Hybrid,Dealer,Manual,Second Owner,18.39,1.8,7,Mumbai
HYUNDAI i20,2022,45998,Petrol,Individual,Manual,Second Owner,21.31,1.6,5,Surat
HYUNDAI i20,2003,41110,Hybrid,Individual,Automatic,First Owner,18.48,1.6,7,Surat
HYUNDAI i20,2008,81855,CNG,Dealer,Manual,Second Owner,22.11,2.6,11,Surat
HYUNDAI i20,2022,40166,Petrol,Individual,Automatic,First Owner,21.49,1.2,5,Kolkata
HYUNDAI i20,2008,47276,CNG,Dealer,Manual,Second Owner,37.72,1.6,11,Hyderabad
HYUNDAI i20,2013,50635,Diesel,Individual,Automatic,First Owner,28.39,1.6,5,Kolkata
HYUNDAI i20,2004,22052,Hybrid,Dealer,Automatic,First Owner,17.01,2.2,5,Chennai
HYUNDAI i20,2020,52670,Electric,Individual,Automatic,Second Owner,13.5,1.8,11,Chennai
